lead_type,axis_score,name,business_id,toi_code,toi_description,nearest_station,distance_km,best_website,website_status,registered,s_webshop,s_pim,s_data
webshop,8,Leimasin- ja Kilpitehdas Ojanen Avoin yhtiö,0665678-0,47620.0,"Sanomalehtien, muiden aikakausjulkaisujen ja paperitavaran vähittäiskauppa",Lahti,0.835,https://www.leimasinjakilpi.fi/yhteystiedot,live,1985-12-31,8,4,2
webshop,8,Brandsense Oy,2054642-2,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,1.65,www.classicbike.fi,live,2006-09-07,8,4,2
webshop,8,Liukkosen Pultti Oy,1865112-7,47521.0,Rautakauppatavaran ja rakennustarvikkeiden vähittäiskauppa ilman erikoistumista tiettyyn tuoteryhmään,Lahti,1.659,www.liukkosenpultti.fi,live,2003-12-02,8,4,2
webshop,8,Arkkiplussa Oy,1533296-4,47620.0,"Sanomalehtien, muiden aikakausjulkaisujen ja paperitavaran vähittäiskauppa",Tikkurila,0.99,www.arkkiplussa.fi,live,1999-05-04,8,4,2
webshop,8,Booky.fi Oy,2131125-4,47610.0,Kirjojen vähittäiskauppa,Pasila,2.417,www.booky.fi,live,2007-08-08,8,4,2
webshop,8,Suomen Minimaailma Oy,1891117-9,47640.0,Pelien ja leikkikalujen vähittäiskauppa,Pasila,2.902,www.minimaailma.fi,live,2004-04-20,8,4,2
webshop,8,Alppi-Avain Oy,0502236-4,47529.0,"Muu rautakauppatavaran, rakennustarvikkeiden ja lasin erikoistunut vähittäiskauppa",Pasila,1.289,www.alppiavain.fi,live,1983-02-03,8,4,2
webshop,8,Gymnastica Oy,1059726-9,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,1.38,www.gymnastica.fi,live,1996-08-20,8,4,2
webshop,8,Ruslania Books Oy,0645278-8,47610.0,Kirjojen vähittäiskauppa,Pasila,0.672,www.ruslania.com,live,1986-12-03,8,4,2
webshop,8,Videotykki Oy,1016948-3,47540.0,Sähkökäyttöisten kodinkoneiden vähittäiskauppa,Pasila,0.691,https://videotykki.fi/,live,1995-11-15,8,4,2
webshop,8,Horse & Rider Nordic Oy,1107085-6,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Savio,1.431,www.horserider.fi,live,1997-09-23,8,4,2
webshop,8,Oy Cycle Center Finland Ltd,2016971-9,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,1.782,www.cyclecenter.org,live,2006-02-14,8,4,2
webshop,8,Medilukko Oy,2260164-0,47529.0,"Muu rautakauppatavaran, rakennustarvikkeiden ja lasin erikoistunut vähittäiskauppa",Pasila,1.482,medilukko.fi,live,2009-04-07,8,4,2
webshop,8,Erä-Lindroos Oy,0731141-8,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Lahti,1.657,www.era-lindroos.fi,live,1989-02-22,8,4,2
webshop,8,Avainahjo Oy,2005749-3,47529.0,"Muu rautakauppatavaran, rakennustarvikkeiden ja lasin erikoistunut vähittäiskauppa",Pasila,2.12,www.avainahjo.fi,live,2006-01-16,8,4,2
webshop,8,Helsingin Venevaruste Oy,0837460-5,47631.0,Veneiden ja veneilytarvikkeiden vähittäiskauppa,Pasila,2.363,www.marinea.fi,live,1991-03-13,8,4,2
webshop,8,Lukko-Tiimi Oy,2325398-3,47529.0,"Muu rautakauppatavaran, rakennustarvikkeiden ja lasin erikoistunut vähittäiskauppa",Tikkurila,2.094,www.lukko-tiimi.fi,live,2010-07-16,8,4,2
webshop,8,Loisirs Oy,0913355-5,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Savio,0.638,www.urheilukiilunen.fi,live,1992-12-16,8,4,2
webshop,8,DekoCenter Oy,1080623-5,47521.0,Rautakauppatavaran ja rakennustarvikkeiden vähittäiskauppa ilman erikoistumista tiettyyn tuoteryhmään,Lahti,0.35,www.dekocenter.fi,live,1995-06-14,8,4,2
webshop,8,Kirjokanta Oy,0469660-7,47621.0,Paperi- ja toimistotarvikkeiden vähittäiskauppa,Pasila,2.998,www.kirjokanta.fi,live,1982-03-04,8,4,2
webshop,8,Helsingin Asennustoimi Oy,0972062-9,47540.0,Sähkökäyttöisten kodinkoneiden vähittäiskauppa,Kerava,0.552,https://www.hel.fi/en,live,1994-10-05,8,4,2
webshop,8,Kerko Group Oy,2161589-9,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Kerava,0.803,https://www.unisport.com/fi,live,2007-12-12,8,4,2
webshop,8,IVPlus Oy,2040579-3,47540.0,Sähkökäyttöisten kodinkoneiden vähittäiskauppa,Lahti,2.53,www.ivplus.fi,live,2006-06-09,8,4,2
webshop,8,Keravan Lukko Oy,2072292-4,47529.0,"Muu rautakauppatavaran, rakennustarvikkeiden ja lasin erikoistunut vähittäiskauppa",Kerava,0.435,https://keravanlukko.fi/,live,2006-11-13,8,4,2
webshop,8,Alppi-Rauta Oy,0734764-8,47521.0,Rautakauppatavaran ja rakennustarvikkeiden vähittäiskauppa ilman erikoistumista tiettyyn tuoteryhmään,Pasila,0.882,https://www.alppirauta.fi/,live,1989-08-16,8,4,2
webshop,8,Lukitusturva Oy,0108052-4,47529.0,"Muu rautakauppatavaran, rakennustarvikkeiden ja lasin erikoistunut vähittäiskauppa",Tikkurila,1.758,www.lukitusturva.fi,live,1959-02-20,8,4,2
webshop,8,Rosebud Books Oy,0679141-3,47610.0,Kirjojen vähittäiskauppa,Pasila,2.99,www.rosebud.fi,live,1988-12-28,8,4,2
webshop,7,Tyykipuoti Kommandiittiyhtiö,0356549-6,47511.0,Kankaiden vähittäiskauppa,Kerava,0.305,www.tyykipuoti.fi,live,1980-04-11,7,4,2
webshop,7,Karanttia Oy Perusturva,0679780-7,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Pasila,0.853,https://karanttia.com/,live,1987-11-18,7,4,2
webshop,7,Formtex Oy,1966433-3,47712.0,Vaatteiden vähittäiskauppa ilman erikoistumista tiettyyn tuoteryhmään,Pasila,2.698,www.charlston.fi,live,2005-08-12,7,4,2
webshop,7,Indoor Group Oy,1512332-9,47551.0,Huonekalujen vähittäiskauppa,Pasila,0.299,www.indoorgroup.fi,live,1999-01-12,7,4,2
webshop,7,FinScooter Oy,2434591-9,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,2.12,www.finscooter.com,live,2011-10-24,7,3,1
webshop,7,K ja R Tammela Oy,0350777-1,47551.0,Huonekalujen vähittäiskauppa,Tikkurila,1.893,www.lasimyynti.fi,live,1980-02-22,7,4,2
